,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
2,Bredeson,Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,10.0,3,1,2,0,1,1,0,1.000,9,5,2,1,7,1,1.400,1.000,40,136,87,49,13.600,3.400,23,.575,8,5,3,7,2.297,.640,23,.575,.783,.000,.217,.100,9,1,0,0,1,38,8,.059,4.900,.175,7.000,.710,.290,.419,.581,10,10,1.000,.237,0,.290,5,0,0,3,1,.750,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,1,0,0,0,0,1.000,0.0,0,0,0,.000,0,0
5,Rixner,Kaiden,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,.000,.000,1,0,0,.000,0,0,0,0,0,.000,.000,6,6.000,1,1.000,1,1.000,0.00%,0.00%,0,0,2,0,0,1,100.00%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
6,Fletcher,Addison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.0,1,1,0,0,0,0,0,.000,1,2,2,2,0,1,7.000,1.500,10,42,25,17,21.000,4.200,5,.500,2,1,1,0,7.085,.595,6,.600,.667,.167,.167,1.000,1,1,0,0,0,7,1,.024,.000,.000,.000,.857,.143,.429,.571,3,3,1.000,.143,0,.143,2,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,1,0,0,0,0,1.000,0.0,0,0,0,.000,0,0
7,Botaletto,Derek,2,8,5,1,1,0,0,0,0,3,1,0,0,0,2,1,.200,.500,.200,.700,4.000,2.000,.800,0,2,0,1.000,0,0,0,0,1,.000,.000,34,4.250,2,.250,2,.250,50.00%,50.00%,0,0,3,0,1,5,62.50%,.250,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,4,1,3,0,0,0,1.000,0.0,0,0,0,.000,0,0
9,Porter,Camden,6,18,16,5,3,1,1,0,5,2,0,0,1,0,2,5,.312,.389,.500,.889,9.000,.400,.688,1,1,0,1.000,0,0,0,2,8,.000,.429,73,4.056,3,.167,3,.167,54.55%,9.09%,0,0,11,2,4,8,44.44%,.455,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,16,7,8,1,1,0,.938,0.0,0,0,0,.000,0,0
10,Hainline,Nick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,4.0,1,0,1,0,0,0,0,.000,5,2,1,2,6,1,1.750,1.750,19,67,41,26,16.750,3.526,8,.421,1,1,1,2,2.098,.612,12,.632,.833,.083,.083,.500,3,0,1,0,0,16,9,.134,10.500,.316,3.000,.500,.500,.400,.600,1,4,.250,.312,0,.500,3,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,2,1,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
11,Otten,Zach,6,22,15,5,5,0,0,0,2,3,1,0,0,0,5,6,.333,.500,.333,.833,4.400,.833,.600,2,1,0,1.000,0,0,0,0,5,.000,.400,103,4.682,7,.318,7,.318,50.00%,30.00%,0,1,6,0,4,14,63.64%,.500,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,12,1,11,0,0,0,1.000,0.0,0,0,0,.000,0,0
12,LeCrone,Chris,6,23,19,7,7,0,0,0,4,5,2,0,1,0,2,6,.368,.478,.368,.847,11.500,.333,.684,3,0,0,.000,0,0,0,0,7,.000,.429,89,3.870,3,.130,4,.174,15.38%,61.54%,0,0,7,4,5,11,47.83%,.538,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,26,15,8,3,2,0,.885,0.0,0,0,0,.000,0,0
14,Lutz,Travis,3,11,9,5,3,2,0,0,3,2,0,0,0,0,2,2,.556,.636,.778,1.414,5.500,1.000,.778,0,0,1,.000,0,0,0,2,7,.000,.500,43,3.909,1,.091,2,.182,14.29%,42.86%,0,0,3,1,4,7,63.64%,.714,4.0,1,1,0,0,0,0,0,.000,4,0,0,0,4,0,.000,1.000,16,48,35,13,12.000,3.000,11,.688,3,1,1,3,1.170,.729,10,.625,.900,.000,.100,.000,4,0,0,0,1,16,10,.208,7.000,.250,.000,.750,.250,.750,.250,4,1,4.000,.250,0,.333,4,0,1,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,6,3,3,0,0,0,1.000,0.0,0,0,0,.000,0,0
